Date,1d Returns,1d Returns after Filing,1w Returns,1w Returns after Filing,1m Returns,1m Returns after Filing,1q Returns,1q Returns after Filing,Count,Link
2013-10-11,,,,,,,,,,
2013-10-14,-0.056554230326399946,,,,,,,,,
2013-10-15,-1.783215895569057,,,,,,,,,
2013-10-16,1.2392037485564167,,,,,,,,,
2013-10-17,1.5086770013983175,,,,,,,,,
2013-10-18,0.6449860481070546,,1.5275861598610385,,,,,,,
2013-10-21,-1.0866531810163504,,0.4811597617720986,,,,,,,
2013-10-22,-0.253531298641152,,2.0461110455120224,,,,,,,
2013-10-23,-1.0166605212940993,,-0.22773314983066673,,,,,,,
2013-10-24,1.654751969681456,,-0.08415694387267081,,,,,,,
2013-10-25,-0.11225468610198686,,-0.8359116941666689,,,,,,,
2013-10-28,0.5900818872961011,,0.8450738323256157,,,,,,,
2013-10-29,0.7262496536833085,,1.835646067744734,,,,,,,
2013-10-30,3.2445840862436404,,6.219682815208194,,,,,,,
2013-10-31,-0.7520664362596019,,3.7047832879424814,,,,,,,
2013-11-01,1.190797280074718,,5.057629138458264,,,,,,,
2013-11-04,0.2139480011273731,,4.664789868640429,,,,,,,
2013-11-05,-1.01415507135878,,2.8563328332676496,,,,,,,
2013-11-06,-1.3480532819460822,,-1.719033922342772,,,,,,,
2013-11-07,-1.8311058574958072,,-2.787560318278881,,,,,,,
2013-11-08,2.0601221361303157,,-1.9524133246325959,,3.7057862638806727,,,,,
2013-11-11,0.054594675932118086,,-2.108321851097539,,3.82111933677145,,,,,
2013-11-12,-0.054564886409202984,,-1.1593387555079882,,5.648408677896599,,,,,
2013-11-13,4.85543689643273,,5.056018281561614,,9.422137266579211,,,,,
2013-11-14,0.15608285396540023,,7.182619945191759,,7.9640969606816325,,,,,
2013-11-15,0.7013139586480976,,5.755611850186382,,8.02452115302379,,,,,
2013-11-18,-0.5158927802398017,,5.152618552619903,,8.64785582897838,,,,,
2013-11-19,-1.4518959275402588,,3.68248619697209,,7.342548993294851,,,,,
2013-11-20,-0.8418592284907045,,-1.9510779206033169,,7.532112372704525,,,,,
2013-11-21,1.140856026485726,,-0.9870231641976535,,6.98850457040443,,,,,
2013-11-22,-1.2853935447388665,,-2.9404219459965186,,5.731970330447678,,,,,
2013-11-25,-0.2126100329786884,,-2.6445305086315707,,4.888247005974433,,,,,
2013-11-26,0.3195845593677804,,-0.8944885761056676,,4.464778555516613,,,,,
2013-11-27,3.132487386470939,,3.077748607719877,,4.351357042686677,,,,,
2013-11-29,-0.3089162369286025,,1.6002125577230908,,4.817294448267306,,,,,
2013-12-02,0.9811488522256884,,3.933010079506838,,4.600132595775452,,,,,
2013-12-03,-2.480172773726619,,1.5712425128037166,,1.788094991233713,,,,,
2013-12-04,1.4944798827196237,,2.7607966595785793,,4.367748407215988,,,,,
2013-12-05,0.981662277584272,,0.6177231502935365,,6.832445511190555,,,,,
2013-12-06,2.7628258237593073,,3.7180173850914544,,11.831798517117132,,,,,
2013-12-09,1.8173269218748844,,4.576858194001465,,11.56575704162961,,,,,
2013-12-10,-1.2224947687038967,,5.925548179677942,,10.141739972127017,,,,,
2013-12-11,-0.5940729496722197,,3.7458128489588294,,9.547191989527848,,,,,
2013-12-12,-0.2739057394478217,,2.455876423114667,,4.1883369873987775,,,,,
2013-12-13,-0.024958705226463263,,-0.32358107921103274,,4.0000067488319635,,,,,
2013-12-16,3.496513706879334,,1.3202975266060735,,6.886769406166859,,,,,
2013-12-17,0.21716606038302277,,2.7970190048305588,,7.674375521842403,,,,,
2013-12-18,-0.6260291921965089,,2.7639726204994997,,8.576723525686457,,,,,
2013-12-19,-2.3503942749362627,,0.6242296315662088,,6.924899566581044,,,,,
2013-12-20,1.7121429119634213,,2.372611125164248,,7.528857207965967,,,,,
2013-12-23,0.7319072351067879,,-0.3619735783403355,,9.726283255547386,,,,,
2013-12-24,-0.9929807368707522,,-1.565127122776111,,8.868187088006675,,,,,
2013-12-26,1.5655975560998625,,0.6057884460514584,,10.220377456797912,,,,,
2013-12-27,-1.3969660516068738,,1.588080155501248,,5.3796325056253425,,,,,
2013-12-30,-0.610647212204618,,-0.731876759796779,,5.060684229712131,,,,,
2013-12-31,0.44238694434772796,,-1.0171898913800992,,4.500156890481755,,,,,
2014-01-02,0.19574908686186276,,0.17124926463838452,,7.36761740811922,,,,,
2014-01-03,-3.3699924939229353,,-4.696582295116059,,2.221654695356512,,,,,
2014-01-06,2.0975665841012736,,-1.3189894348542897,,3.351261617257628,,,,,
2014-01-07,-0.49505357664196836,,-1.2042196285091733,,0.07472709682896372,,,,,
2014-01-08,0.5472476961589701,,-1.1010779159244755,,-1.1736147694075938,,14.342271544974361,,,
2014-01-09,0.17321055779015992,,-1.1233247302940175,,0.22278122117256327,,14.605138485292212,,,
2014-01-10,-1.1361175244798405,,1.1624882966050798,,-0.3237175283996252,,15.360211043496053,,,
2014-01-13,-1.1241711016876765,,-2.029742545301272,,-1.1735581949859353,,12.667188860348567,,,
2014-01-14,1.1117162401138359,,-0.44775432987871344,,-0.04994235165081129,,12.226591520466279,,,
2014-01-15,-1.599197276844222,,-2.572958372415368,,-4.971041510845398,,9.724161392591203,,,
2014-01-16,-0.9649412360766774,,-3.6799086396787306,,-6.0919515267733315,,9.85917594340211,,,
2014-01-17,-1.0256876749255794,,-3.5723201763123713,,-6.469627369489183,,9.008735177904658,,,
2014-01-21,-0.6735555981586705,,-3.132861837686729,,-4.863524148531617,,9.386591026184576,,,
