Date,1d Returns,1d Returns after Filing,1w Returns,1w Returns after Filing,1m Returns,1m Returns after Filing,1q Returns,1q Returns after Filing,Count,Link
2013-10-11,,,,,,,,,,
2013-10-14,0.40912235981069855,,,,,,,,,
2013-10-15,-1.2223749990884936,,,,,,,,,
2013-10-16,1.8856829046517198,,,,,,,,,
2013-10-17,0.9832240538170556,,,,,,,,,
2013-10-18,0.4009124963719968,,2.4546805842737607,,,,,,,
2013-10-21,-0.17112234031566587,,1.8626150028305588,,,,,,,
2013-10-22,0.5713681091948031,,3.7123797005680803,,,,,,,
2013-10-23,-0.45448548011034484,,1.3302547035668688,,,,,,,
2013-10-24,1.3698645666006426,,1.718223913365513,,,,,,,
2013-10-25,-0.9009621244933763,,0.3992680303988472,,,,,,,
2013-10-28,-0.1703810570431008,,0.4000135491276424,,,,,,,
2013-10-29,0.22765231775641048,,0.05688338428793127,,,,,,,
2013-10-30,-0.9709009923383416,,-0.4621849728755567,,,,,,,
2013-10-31,-1.3263772743587365,,-3.109697848435178,,,,,,,
2013-11-01,-1.2858133305348685,,-3.4859714272321485,,,,,,,
2013-11-04,0.651294413244119,,-2.6915858465142883,,,,,,,
2013-11-05,0.5293860505082293,,-2.39864043323047,,,,,,,
2013-11-06,-1.0532499577115995,,-2.479802142868215,,,,,,,
2013-11-07,-2.1289317772522076,,-3.2729753511826276,,,,,,,
2013-11-08,1.8126963921938133,,-0.23684005556877663,,-0.957181490800485,,,,,
2013-11-11,0.23740231935385214,,-0.6470800172425961,,-1.1265648735215628,,,,,
2013-11-12,-1.0065230174572504,,-2.165014789605557,,-0.9105035245820514,,,,,
2013-11-13,2.2727347063079772,,1.1235991393540479,,-0.5340741083713962,,,,,
2013-11-14,-0.058480654301074075,,3.2628571774743875,,-1.5601269430820297,,,,,
2013-11-15,-0.11703863715009089,,1.3056361256136295,,-2.067961409580954,,,,,
2013-11-18,-0.5272331565714716,,0.5328519003596988,,-2.4173057978742585,,,,,
2013-11-19,-0.647833426479949,,0.8971192099550773,,-3.600276387449375,,,,,
2013-11-20,0.2964258706603884,,-1.052607359483415,,-2.8730949868513322,,,,,
2013-11-21,1.004702275272762,,0.0,,-3.2229729642544225,,,,,
2013-11-22,-0.4681278822442181,,-0.35150063664882714,,-2.8002805540943365,,,,,
2013-11-25,-0.4115038170243168,,-0.23556684507813896,,-3.0350512050329903,,,,,
2013-11-26,-0.413240037921736,,0.0,,-3.6550806381718592,,,,,
2013-11-27,0.9484475258943803,,0.6500946066361646,,-1.7877559823949785,,,,,
2013-11-29,0.2936319212633265,,-0.05847931904081616,,-0.17532163533969802,,,,,
2013-12-02,-0.11712490856982116,,0.2939682960412693,,1.0065140234172487,,,,,
2013-12-03,-2.9308350391967886,,-2.2432095448566614,,-2.588257518080783,,,,,
2013-12-04,0.3623074404661697,,-1.4819132403915747,,-2.7501546426437207,,,,,
2013-12-05,0.7220173050530798,,-1.7028920933463754,,-1.0053326378981597,,,,,
2013-12-06,-0.23891694614268655,,-2.2248396236349555,,0.906380321945055,,,,,
2013-12-09,-0.8383392909983023,,-2.9308350391967886,,-1.7210563767626086,,,,,
2013-12-10,-0.18115372023308485,,-0.18115372023308485,,-2.1314345835588555,,,,,
2013-12-11,-0.7259574997580787,,-1.2635257137660338,,-1.8540572698255375,,,,,
2013-12-12,-0.12187923976088033,,-2.0907864431148893,,-4.1520465030914,,,,,
2013-12-13,1.2202425915232906,,-0.658713349945117,,-2.925699265190773,,,,,
2013-12-16,1.627499568262425,,1.8115922419460695,,-1.2302166314673624,,,,,
2013-12-17,-0.94897386862004,,1.0284436204560654,,-1.6489768619161072,,,,,
2013-12-18,-6.287435526094242,,-4.631318539715268,,-7.231750300261874,,,,,
2013-12-19,-2.236415957060811,,-6.650385149031502,,-9.574478877918157,,,,,
2013-12-20,0.7842988908236537,,-7.052430980133117,,-9.771797323960051,,,,,
2013-12-23,-1.7509768450557184,,-10.142354189332558,,-10.934732911892741,,,,,
2013-12-24,0.26403148564435597,,-9.041933428972527,,-10.330579475846413,,,,,
2013-12-26,0.9216666825009767,,-2.0447287074078724,,-9.12860933323224,,,,,
2013-12-27,-0.19568854960380078,,0.0,,-10.158533406763615,,,,,
2013-12-30,-0.13075123230231744,,-0.9079292441347642,,-10.538689197150507,,,,,
2013-12-31,0.9816844820501824,,1.8481802914313228,,-9.554527214254405,,,,,
2014-01-02,0.06481006457081939,,1.6458112173898698,,-6.763295438252481,,,,,
2014-01-03,0.45335694093913137,,1.174141206907242,,-6.678710342586669,,,,,
2014-01-06,0.45134027454363235,,1.8300506026828645,,-6.929498901470266,,,,,
2014-01-07,-1.2836924539764927,,0.6544728908880026,,-7.90420544106415,,,,,
2014-01-08,1.0403320275846895,,0.7129304004096282,,-6.159400780039769,,-8.657216287496972,,,
2014-01-09,1.9304603379854957,,2.5906645011056773,,-4.174253326129662,,-7.273245960617003,,,
2014-01-10,1.4520483309629517,,3.610604664920336,,-2.0719007903358677,,-4.76265113389811,,,
2014-01-13,0.24888740834276835,,3.4017845155237536,,-1.708372994430607,,-6.292641013342926,,,
2014-01-14,1.8001212257454213,,6.631968519802545,,-1.1452720477802991,,-5.534601474970879,,,
2014-01-15,1.8293037058197292,,7.464602394497333,,-0.94897386862004,,-4.190654079522604,,,
2014-01-16,0.1796168446871027,,5.61869981308627,,0.1796168446871027,,-3.8540371336890367,,,
2014-01-17,-1.255208888068049,,2.8002551169196144,,5.55911466659833,,-5.600239929305928,,,
