,count,mean,std,min,25%,50%,75%,max
1d Returns,2519.0,0.027871688286873905,2.1826487749396737,-17.322824619082233,-1.0275599548435155,0.05646076743039963,1.0365374414955553,19.943165822342344
1d Returns after Filing,94.0,-0.21073520097108184,2.2383257109754213,-8.074904496597355,-1.491176613492625,-0.08710009617674673,0.9539444643615616,5.098175874276559
1w Returns,2515.0,0.15069350631314457,4.939834357298359,-35.384601559318654,-2.5154148707923376,0.052331772893143835,2.683186429164963,32.2704641793198
1w Returns after Filing,94.0,0.0527101127716088,5.180164331555632,-12.735325092038075,-2.6441930938295766,-0.025164632024945843,2.4953494058076764,18.73252531880144
1m Returns,2500.0,0.5900462943903263,9.592753709590406,-51.30312457951356,-5.240433043688827,0.09415475282539276,6.0280310040908835,36.735641809426966
1m Returns after Filing,93.0,1.8776803243419837,9.955757530342735,-40.22701255225562,-5.003108935847043,1.403218195828663,7.434324255743227,27.43795385526618
1q Returns,2460.0,1.6069276145652824,15.758540133062704,-54.361381518291154,-7.883976851981686,0.9919134254266382,10.181570604302,66.42854425377003
1q Returns after Filing,92.0,4.0336953620974025,16.231357536735818,-36.87360986322173,-5.7549492745824455,4.20386062526628,13.435847514122159,47.81350655294311
