,count,mean,std,min,25%,50%,75%,max
1d Returns,2520.0,0.03597431103623144,2.1675951758819565,-12.324184335050292,-0.9534316118338548,0.0,1.0083835361317406,23.441381591566213
1d Returns after Filing,184.0,-0.05602439714227795,3.3499150685587034,-12.324184335050294,-1.3975839158120034,0.0,1.381246462713329,10.744693419540965
1w Returns,2516.0,0.14820084975418038,4.962336841882002,-23.72881572478792,-2.2896410866594414,0.09731190544821633,2.4232074918677626,28.546422737901555
1w Returns after Filing,184.0,0.381455542921615,7.031251308433428,-19.691902238677624,-3.6268330510010918,0.4517562301731862,3.3207751642620487,23.16512906083663
1m Returns,2501.0,0.6085275027274593,10.25199421127921,-47.02773392829226,-4.717542779077755,-0.11378906418337831,5.0228321236594375,50.71867913445176
1m Returns after Filing,182.0,1.0693982802091482,11.86170997678411,-37.84118337560145,-6.165275785228157,0.5235787821235312,7.726437034607106,40.36767043816997
1q Returns,2461.0,1.849389183718973,17.046199368420634,-56.93561887848935,-8.35271160341281,0.45853414646908064,10.171361236506037,63.07382519776914
1q Returns after Filing,179.0,2.7108526134406463,19.739329553654564,-46.37398911323049,-9.461525878939522,0.0015549279494232173,13.476514819813133,52.340542403851806
